area	type	diversity	ext	mean	desv1	desv2
pantanal	climate	interaction	19	0.118913886	NA	NA
pantanal	climate	interaction	24	0.118568511	NA	NA
pantanal	climate	interaction	29	0.116442146	NA	NA
pantanal	climate	interaction	33	0.107448686	NA	NA
pantanal	climate	interaction	38	0.10132248	NA	NA
pantanal	climate	interaction	43	0.104020337	NA	NA
pantanal	climate	interaction	48	0.087785958	NA	NA
pantanal	climate	interaction	52	0.087095356	NA	NA
pantanal	climate	interaction	57	0.063080724	NA	NA
pantanal	climate	interaction	62	0.058487587	NA	NA
pantanal	climate	interaction	67	0.056267331	NA	NA
pantanal	climate	interaction	71	0.044684977	NA	NA
pantanal	climate	interaction	76	0.028336183	NA	NA
pantanal	land	interaction	0	0.1994177	NA	NA
pantanal	land	interaction	5	0.1843907	NA	NA
pantanal	land	interaction	10	0.1571984	NA	NA
pantanal	land	interaction	14	0.1502689	NA	NA
pantanal	land	interaction	19	0.1528016	NA	NA
pantanal	land	interaction	24	0.1488242	NA	NA
pantanal	land	interaction	29	0.1459317	NA	NA
pantanal	land	interaction	33	0.1292105	NA	NA
pantanal	land	interaction	38	0.1282746	NA	NA
pantanal	land	interaction	43	0.1033626	NA	NA
pantanal	land	interaction	48	0.09678977	NA	NA
pantanal	land	interaction	52	0.09482882	NA	NA
pantanal	land	interaction	57	0.06352516	NA	NA
pantanal	land	interaction	62	0.05858837	NA	NA
pantanal	land	interaction	67	0.05503663	NA	NA
pantanal	land	interaction	71	0.05427504	NA	NA
pantanal	land	interaction	76	0.03019142	NA	NA
pantanal	climate	functional	0	0.063728	NA	NA
pantanal	climate	functional	5	0.06023815	NA	NA
pantanal	climate	functional	10	0.060463055	NA	NA
pantanal	climate	functional	14	0.059424974	NA	NA
pantanal	climate	functional	19	0.057590236	NA	NA
pantanal	climate	functional	24	0.048363282	NA	NA
pantanal	climate	functional	29	0.051468918	NA	NA
pantanal	climate	functional	33	0.050501527	NA	NA
pantanal	climate	functional	38	0.050398538	NA	NA
pantanal	climate	functional	43	0.051553208	NA	NA
pantanal	climate	functional	48	0.052375965	NA	NA
pantanal	climate	functional	52	0.043732461	NA	NA
pantanal	climate	functional	57	0.043285551	NA	NA
pantanal	climate	functional	62	0.043283704	NA	NA
pantanal	climate	functional	67	0.04643562	NA	NA
pantanal	climate	functional	71	0.038476972	NA	NA
pantanal	climate	functional	76	0.030966198	NA	NA
pantanal	land	functional	0	0.063728	NA	NA
pantanal	land	functional	5	0.064530409	NA	NA
pantanal	land	functional	10	0.060463055	NA	NA
